street_id,road_name,road_type,locality_name
297,ADELAIDE,AVENUE,MOUNT WAVERLEY
298,ADELAIDE,BOULEVARD,GOWANBRAE
299,ADELAIDE,CLOSE,BERWICK
300,ADELAIDE,STREET,ALBION
301,ADELAIDE,STREET,ARMADALE
302,ADELAIDE,STREET,ASCOT VALE
303,ADELAIDE,STREET,BLAIRGOWRIE
304,ADELAIDE,STREET,CREMORNE
305,ADELAIDE,STREET,DANDENONG
306,ADELAIDE,STREET,FOOTSCRAY
307,ADELAIDE,STREET,MORNINGTON
308,ADELAIDE,STREET,MURRUMBEENA
309,ADELAIDE,STREET,PASCOE VALE
310,ADELAIDE,STREET,ST ALBANS
311,ADELE,AVENUE,FERNTREE GULLY
312,ADELE,CLOSE,NARRE WARREN
313,ADELE,CLOSE,WHEELERS HILL
314,ADELE,COURT,HOPPERS CROSSING
315,ADELE,COURT,RINGWOOD
316,ADELE,COURT,RYE
317,ADELE,STREET,VERMONT
318,ADELIA,CLOSE,HEALESVILLE
319,ADELIE,COURT,ROXBURGH PARK
320,ADELINE,AVENUE,CRAIGIEBURN
321,ADELINE,COURT,DEER PARK
322,ADELINE,STREET,GREENSBOROUGH
323,ADELINE,STREET,PRESTON
324,ADELINE,STREET,WILLIAMSTOWN NORTH
325,ADELLA,PLACE,TEMPLESTOWE
326,ADELLE,COURT,CARRUM DOWNS
327,ADELLE,COURT,DONCASTER
328,ADELONG,COURT,BERWICK
329,ADELONG,COURT,DANDENONG NORTH
330,ADELONG,COURT,PATTERSON LAKES
331,ADELYN,AVENUE,DONVALE
332,ADEN,COURT,THOMASTOWN
333,ADEN,COURT,TOOTGAROOK
334,ADEN,PLACE,FRANKSTON
335,ADENEY,AVENUE,KEW
336,ADENEY,STREET,BALWYN NORTH
337,ADENEY,STREET,YARRAVILLE
338,ADENEYS,ROAD,CANNONS CREEK
339,ADENMORE,COURT,ELTHAM
340,ADIB,COURT,FRANKSTON NORTH
341,ADINA,AVENUE,ASPENDALE
342,ADINA,CLOSE,BAYSWATER NORTH
343,ADINA,COURT,FRANKSTON
344,ADINA,COURT,KURUNJANG
345,ADINA,COURT,SUNSHINE WEST
346,ADINA,COURT,TULLAMARINE
347,ADINA,COURT,YALLAMBIE
348,ADINA,PLACE,DELAHEY
349,ADINA,PLACE,MORNINGTON
350,ADINA,STREET,BLACKBURN NORTH
351,ADINA,STREET,RYE
352,ADINA,STREET,TARNEIT
353,ADIOS,PLACE,KEILOR DOWNS
354,ADLER,COURT,KEILOR DOWNS
355,ADLER,GROVE,COBURG NORTH
356,ADLEY,COURT,VERMONT SOUTH
357,ADLINGTON,AVENUE,GREENVALE
358,ADMANS,AVENUE,SEAFORD
359,ADMINISTRATION,DRIVE,PAKENHAM
360,ADMIRAL,COURT,LILYDALE
361,ADMIRAL,COURT,TARNEIT
362,ADMIRAL,STREET,SEDDON
363,ADMIRALA,AVENUE,DANDENONG NORTH
364,ADMIRALS,COURT,FRANKSTON
365,ADMIRALS,CRESCENT,TAYLORS LAKES
366,ADMIRALS,QUAY,PATTERSON LAKES
367,ADMIRALTY,COURT,SAFETY BEACH
368,ADMIRALTY,LANE,SYDENHAM
369,ADMIRATION,WALK,TARNEIT
370,ADNETTE,COURT,COBURG NORTH
371,ADOBE,COURT,VERMONT
372,ADOLPH,STREET,CREMORNE
373,ADOLPHSON,AVENUE,RINGWOOD NORTH
374,ADORI,COURT,ST HELENA
375,ADORI,STREET,MARIBYRNONG
376,ADRIAN,AVENUE,BLACKBURN SOUTH
377,ADRIAN,AVENUE,VERMONT SOUTH
378,ADRIAN,COURT,BRAYBROOK
379,ADRIAN,COURT,BUNDOORA
380,ADRIAN,COURT,GLADSTONE PARK
381,ADRIAN,COURT,HEATHMONT
382,ADRIAN,COURT,ROCKBANK
