mb_code16,lon,lat
20017990000,145.0452349286,-37.7760935763
20018000000,145.0766136753,-37.7446155428
20018010000,145.0423798937,-37.7783599039
20018020000,145.0750045117,-37.7483800329
20018030000,145.0827359914,-37.7470108893
20018040000,145.0720637690,-37.7464967884
20019910000,145.0399628568,-37.7621795401
20018050000,145.0718755549,-37.7517095172
20018060000,145.0639202225,-37.7682961868
20018070000,145.0626498246,-37.7636701254
20018080000,145.0351658722,-37.7681922540
20018090000,145.0398248926,-37.7680469778
20018100000,145.0387315996,-37.7697857564
20018111000,145.0564492474,-37.7685788704
20018112000,145.0557470006,-37.7693632326
20018120000,145.0482321668,-37.7712607701
20018130000,145.0517866990,-37.7694789965
20018140000,145.0539691850,-37.7599836289
20018150000,145.0572938860,-37.7613175335
20018160000,145.0473551505,-37.7606724647
20018170000,145.0503902917,-37.7597151034
20019790000,145.0774705703,-37.7475910206
20018180000,145.0583589575,-37.7645213161
20018190000,145.0454127854,-37.7622100360
20018200000,145.0473563793,-37.7630289072
20018210000,145.0458125494,-37.7670508385
20018220000,145.0529006359,-37.7673131449
20018230000,145.0498880772,-37.7655409273
20018240000,145.0518597392,-37.7654768466
20018250000,145.0425361314,-37.7490195900
20019130000,145.0574324337,-37.7667475075
20019140000,145.0473359977,-37.7651774427
20019150000,145.0618668596,-37.7651072696
20019160000,145.0438407767,-37.7654244922
20019170000,145.0407191934,-37.7507315260
20019180000,145.0422527770,-37.7577471983
20019190000,145.0405302327,-37.7610634914
20019200000,145.0715221385,-37.7490920084
20019210000,145.0683575638,-37.7530454372
20019220000,145.0638863098,-37.7515008524
20019231000,145.0639345283,-37.7557368274
20019232000,145.0661002232,-37.7558973776
20019540000,145.0546407175,-37.7387076671
20019550000,145.0741727421,-37.7281678704
20019560000,145.0846811089,-37.7308289545
20019570000,145.0761443374,-37.7307362810
20019850000,145.0543582588,-37.7640115406
20019860000,145.0590103442,-37.7628746354
20019871000,145.0443830777,-37.7677113919
20019872000,145.0451747834,-37.7669080147
20019880000,145.0445694135,-37.7621208414
20019890000,145.0494818052,-37.7672294708
20019900000,145.0416932691,-37.7516196142
20019920000,145.0404237774,-37.7485749443
20019930000,145.0390323780,-37.7586320946
20019940000,145.0671489470,-37.7503993586
20019950000,145.0643623442,-37.7505504665
20019960000,145.0690539036,-37.7498279579
20019690000,145.0727554760,-37.7169895591
20019700000,145.0669253772,-37.7263444953
20019710000,145.0692713308,-37.7178504695
20019720000,145.0315218587,-37.7612985881
20019730000,145.0365381594,-37.7516667849
20019740000,145.0394953653,-37.7419019320
20019750000,145.0403341818,-37.7374353039
20019760000,145.0374885645,-37.7383096078
20019770000,145.0581817389,-37.7761510222
20019780000,145.0812459512,-37.7471918010
20019800000,145.0771108319,-37.7507976365
20019810000,145.0649585601,-37.7776171391
20019240000,145.0703852382,-37.7542992051
20019250000,145.0680684832,-37.7610560385
20019260000,145.0555045457,-37.7509049657
20019270000,145.0449691325,-37.7495556802
20019280000,145.0498566298,-37.7498959229
20019290000,145.0442063882,-37.7412101275
20019300000,145.0476681663,-37.7593011280
20019310000,145.0508529352,-37.7585053702
20019320000,145.0493875043,-37.7397898910
20019330000,145.0500184442,-37.7442496034
20019340000,145.0616421330,-37.7438569910
20019350000,145.0544832345,-37.7435186752
20019361000,145.0545096552,-37.7467951136
20019362000,145.0544533582,-37.7477542833
20019520000,145.0545085240,-37.7404521559
20019370000,145.0718257105,-37.7313378362
20019380000,145.0631445739,-37.7375146888
20019390000,145.0624550556,-37.7340436593
20019400000,145.0690497003,-37.7423111606
20019410000,145.0634136389,-37.7479842288
20019420000,145.0679216732,-37.7466249829
20019430000,145.0937723906,-37.7386094389
20019440000,145.0903938222,-37.7376448381
20019450000,145.0859854935,-37.7397829828
20019470000,145.0851581576,-37.7431935415
20019481000,145.0535633333,-37.7312349211
20019482000,145.0510910787,-37.7318173657
20019490000,145.0447507479,-37.7379461146
20019500000,145.0581668217,-37.7361775721
20019510000,145.0493805744,-37.7358375425
20020400000,145.0404550788,-37.7529085544
20019530000,145.0599622603,-37.7392716772
20020660000,145.0344138024,-37.7381292361
20019000000,145.0633482826,-37.7624664586
20019010000,145.0365026603,-37.7680934706
20019020000,145.0405396515,-37.7690819763
20019030000,145.0498102665,-37.7709039596
20019040000,145.0479860144,-37.7704917372
20019050000,145.0566656661,-37.7701709277
20019060000,145.0551752981,-37.7607070695
20019070000,145.0528209659,-37.7604983464
20019080000,145.0585481278,-37.7598787637
20019090000,145.0559530145,-37.7640972860
20019100000,145.0517654988,-37.7636109392
20019110000,145.0459768117,-37.7622806604
20019120000,145.0511422489,-37.7673821890
20020270000,145.0852109207,-37.7324961466
20020280000,145.0865759585,-37.7362291958
20020290000,145.0807877359,-37.7356028042
20020300000,145.0781120451,-37.7211582807
20020310000,145.0703129517,-37.7165717216
20020320000,145.0639981066,-37.7269810026
20020330000,145.0770638955,-37.7269724408
